PARK,PLOT,PLOT,SUBPLOT,PLECON,NAVSQU,EPIDEN,PLAFIG,GILCAP,COLLOM,CLAPUR,COLLIN,BROHOR,ERILAN,CRESET,CYNECH,DAUCAR,GERDIS,LEUVUL,Madia,SHEARV,AIRCAR,ARRELA,BROELE,BRODIA,BROSTE,GALAPA,HOLLAN,LINBIE,MYODIS,PLALAN,RUAR,TORARV,VULBRO,agrostis spp,APOAND,CAMLEI,CASTEN,CERGLO,Cirsium,DACGLO,DIAARM,HYPPER,LACSER,LATVES,RUMCRI,SONASP,TAECAP,TRIDUB,Trifolium,Vicia,CARTUM,VEROFF,BROSIT,EPIBRA,CARHIR,NAVINT,CYTSCO,ACMAME,DICCON,WYEANG,NOTES
WIR,DIVERSE,5,C5,0,0,0,0,0,0,0,0,2,,8,,,,1,,<1,8,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,5,D5,0,0,0,0,0,0,0,0,2,,4,2,1,1,,,<1,5,,,,1,,,,,,,,<1,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,
WIR,DIVERSE,5,E5,0,0,0,0,0,0,0,0,2,,2,4,,1,1,,<1,8,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
WIR,DIVERSE,6,A1,0,0,2,0,0,0,0,0,2,,6,2,,2,,,<1,1,,,,1,<1,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,
WIR,DIVERSE,6,B1,0,0,1,0,0,0,0,0,<1,,,,1,1,,,<1,<1,,,,<1,<1,,,,,,,,<1,,,,1,,,,2,,,,,,,,,,3,,,,,,,,,
WIR,DIVERSE,6,C1,0,0,0,0,0,0,0,0,<1,,,,,,,,<1,<1,,,,<1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,6,D1,0,0,0,0,0,0,0,0,<1,,2,,4,,,,<1,1,,,,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,6,E1,0,0,0,0,0,0,0,0,1,,3,<1,4,,3,,,3,,,,<1,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,6,A2,0,0,0,0,0,0,0,0,<1,,8,,4,1,2,,,1,,,,<1,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
WIR,DIVERSE,6,B2,0,0,0,0,0,0,0,0,1,,3,<1,3,1,,,<1,4,,,,1,<1,,,,,,,,,,,,1,,,1,,,,,,,,,,,3,,,,,,,,,
WIR,DIVERSE,6,C2,0,0,0,0,0,0,0,0,3,,5,<1,2,,1,,,2,,,,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
