PARK,PLOT,PLOT.NUM,SUBPLOT,SPECIES,REP,FFDATE,HEIGHT,DEATHDATE,NOTES,,,,,,,,,,,,,,,,
RF,ALONE,,,CLAPUR,6,6/20/2025,26.2,,,,,,,,,,,,,,,,,,
RF,ALONE,,,CLAPUR,7,6/20/2025,15.3,,,,,,,,,,,,,,,,,,
RF,ALONE,,,CLAPUR,8,6/20/2025,16.8,,,,,,,,,,,,,,,,,,
RF,ALONE,,,CLAPUR,9,6/20/2025,33.3,,,,,,,,,,,,,,,,,,
RF,ALONE,,,CLAPUR,10,6/9/2025,32.3,,,,,,,,,,,,,,,,,,
RF,ALONE,,,CLAPUR,11,6/9/2025,36.0,,,,,,,,,,,,,,,,,,
RF,ALONE,,,CLAPUR,12,6/20/2025,38.6,,,,,,,,,,,,,,,,,,
RF,ALONE,,,CLAPUR ,13,6/20/2025,23.0,,,,,,,,,,,,,,,,,,
RF,ALONE,,,CLAPUR ,14,6/20/2025,31.0,,,,,,,,,,,,,,,,,,
RF,ALONE,,,CLAPUR ,15,6/20/2025,45.2,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLIN,1,5/16/2025,5.8,6/2/2025,odd 5/30,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLIN,2,5/2/2025,11.5,,ODD 6/2,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLIN,3,5/2/2025,10.9,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLIN,4,5/23/2025,8.9,6/2/2025,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLIN,5,5/6/2025,12.5,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLIN,6,5/1/2025,11.7,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLIN,7,5/23/2025,12.3,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLIN,8,5/13/2025,13.4,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLIN,9,5/16/2025,8.8,5/27/2025,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLIN,10,4/29/2025,15.0,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLIN,11,5/20/2025,12.5,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLIN,12,5/13/2025,17.7,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLIN,13,5/13/2025,12.3,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLIN,14,5/13/2025,9.9,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLIN,15,5/6/2025,19.4,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLOM,1,6/20/2025,67.7,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLOM,2,,,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLOM,3,6/6/2025,25.5,,claistogamous 6/6,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLOM,4,6/20/2025,27.1,,claistogamous fruit 6/20,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLOM,5,6/6/2025,48.8,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLOM,6,6/9/2025,50.6,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLOM,7,6/20/2025,19.8,,claistogamous fruit 6/20,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLOM,8,6/2/2025,21.2,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLOM,9,6/9/2025,52.2,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLOM,10,6/20/2025,23.5,,claistogamous fruit 6/20,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLOM,11,6/20/2025,29.4,,claistogamous fruit 6/20,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLOM,12,6/2/2025,27.2,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLOM,13,6/20/2025,38.6,,,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLOM,14,6/20/2025,21.0,,claistogamous fruit 6/20,,,,,,,,,,,,,,,,
RF,ALONE,,,COLLOM,15,6/6/2025,49.3,,,,,,,,,,,,,,,,,,
RF,ALONE,,,EPIDEN,1,6/9/2025,32.1,,,,,,,,,,,,,,,,,,
RF,ALONE,,,EPIDEN,2,6/20/2025,30.0,,,,,,,,,,,,,,,,,,
RF,ALONE,,,EPIDEN,3,6/20/2025,71.4,,,,,,,,,,,,,,,,,,
RF,ALONE,,,EPIDEN,4,6/20/2025,20.3,,,,,,,,,,,,,,,,,,
RF,ALONE,,,EPIDEN,5,6/20/2025,39.1,,,,,,,,,,,,,,,,,,
RF,ALONE,,,EPIDEN,6,6/20/2025,37.6,,,,,,,,,,,,,,,,,,
RF,ALONE,,,EPIDEN,7,6/20/2025,54.9,,,,,,,,,,,,,,,,,,
RF,ALONE,,,EPIDEN,8,6/20/2025,47.8,,,,,,,,,,,,,,,,,,
RF,ALONE,,,EPIDEN,9,6/20/2025,63.8,,,,,,,,,,,,,,,,,,
RF,ALONE,,,EPIDEN,10,6/20/2025,49.7,,,,,,,,,,,,,,,,,,
RF,ALONE,,,EPIDEN,11,6/20/2025,65.1,,,,,,,,,,,,,,,,,,
RF,ALONE,,,EPIDEN,12,6/20/2025,41.6,,,,,,,,,,,,,,,,,,
RF,ALONE,,,EPIDEN,13,6/20/2025,54.1,,,,,,,,,,,,,,,,,,
RF,ALONE,,,EPIDEN,14,6/20/2025,23.6,,,,,,,,,,,,,,,,,,
RF,ALONE,,,EPIDEN,15,6/20/2025,64.2,,,,,,,,,,,,,,,,,,
RF,ALONE,,,GILCAP,1,,,,,,,,,,,,,,,,,,,,
RF,ALONE,,,GILCAP,2,6/20/2025,48.6,,,,,,,,,,,,,,,,,,
RF,ALONE,,,GILCAP,3,6/20/2025,23.9,,,,,,,,,,,,,,,,,,
RF,ALONE,,,GILCAP,4,6/20/2025,52.6,,,,,,,,,,,,,,,,,,
RF,ALONE,,,GILCAP,5,6/20/2025,52.2,,,,,,,,,,,,,,,,,,
RF,ALONE,,,GILCAP,6,,,,,,,,,,,,,,,,,,,,
RF,ALONE,,,GILCAP,7,6/20/2025,52.9,,,,,,,,,,,,,,,,,,
RF,ALONE,,,GILCAP,8,,,,odd 6/27,,,,,,,,,,,,,,,,
RF,ALONE,,,GILCAP,9,6/20/2025,68.2,,,,,,,,,,,,,,,,,,
RF,ALONE,,,GILCAP,10,6/20/2025,70.7,,,,,,,,,,,,,,,,,,
RF,ALONE,,,GILCAP,11,6/20/2025,48.7,,,,,,,,,,,,,,,,,,
RF,ALONE,,,GILCAP,12,6/9/2025,53.9,,,,,,,,,,,,,,,,,,
RF,ALONE,,,GILCAP,13,6/6/2025,48.5,,,,,,,,,,,,,,,,,,
RF,ALONE,,,GILCAP,14,6/6/2025,55.5,,,,,,,,,,,,,,,,,,
RF,ALONE,,,GILCAP,15,,,,,,,,,,,,,,,,,,,,
RF,ALONE,,,NAVSQU,1,6/20/2025,3.1,,,,,,,,,,,,,,,,,,
RF,ALONE,,,NAVSQU,2,6/24/2025,7.3,,,,,,,,,,,,,,,,,,
RF,ALONE,,,NAVSQU,3,6/20/2025,20.1,,,,,,,,,,,,,,,,,,
RF,ALONE,,,NAVSQU,4,6/20/2025,15.5,,,,,,,,,,,,,,,,,,
